DK Name,Original_Ownership,Scaled_Ownership
Daniel Gafford,46.18550002,46.18550001287655
Kyrie Irving,17.55990778,17.559907778168913
Malcolm Brogdon,27.57005828,27.570058276318218
Kevin Durant,19.2939956,19.293995597848312
Nikola Jokic,21.16442347,21.164423467502502
Damian Lillard,9.469776375,9.469776374664637
Austin Reaves,19.98982951,19.989829507719666
Mason Plumlee,6.157727179,6.157727179276975
Oso Ighodaro,12.30706204,12.307062039140073
Deni Avdija,13.92369111,13.923691108841187
Precious Achiuwa,7.145682269,7.145682269094319
Klay Thompson,14.6980655,14.698065498698018
Jamal Murray,6.694992635,6.694992635177644
Trayce Jackson-Davis,6.411097935,6.4110979352301305
Josh Hart,11.63356067,11.63356066926459
Scoot Henderson,10.94131739,10.941317389392575
Russell Westbrook,7.500720806,7.50072080602868
Bobby Portis,13.15364089,13.153640888983556
OG Anunoby,26.11342643,26.113426426587523
Mikal Bridges,18.17827219,18.178272188054592
Tyrese Maxey,10.4937405,10.493740499475322
Michael Porter Jr.,4.413198446,4.413198446599507
Jalen Brunson,17.66259122,17.66259121814993
Corey Kispert,24.70745165,24.707451646847463
Caleb Martin,8.336311071,8.336311070874194
Cade Cunningham,10.30339428,10.303394279510513
Jordan Clarkson,19.4715593,19.47155929781548
Maxi Kleber,4.850851566,4.8508515665185925
Jonathan Kuminga,6.535520448,6.5355204482071265
Spencer Dinwiddie,5.023066448,5.023066448486753
Joel Embiid,16.01345434,16.013454338454824
Karl-Anthony Towns,15.86893131,15.868931308481546
Quentin Grimes,10.59385336,10.593853359456816
Lauri Markkanen,4.524580481,4.524580481578914
Anthony Davis,13.27208897,13.272088968961658
Jaden Ivey,6.884546199,6.884546199142599
Royce O'Neale,9.153776273,9.153776272723059
Andrew Wiggins,9.557803544,9.557803543648362
Bilal Coulibaly,7.660204917,7.660204916999193
Malik Beasley,2.787381301,2.7873813019000915
Khris Middleton,3.451977277,3.4519772777772193
Bradley Beal,3.508076037,3.5080760377668474
Patrick Williams,10.46109416,10.461094159481359
Collin Sexton,4.694887452,4.694887452547427
Rui Hachimura,3.037299566,3.0372995668538865
Max Christie,4.20482936,4.20482936063803
De'Aaron Fox,3.582849447,3.5828494477530235
Paul George,7.11982919,7.119829190099099
Miles McBride,4.453453204,4.453453204592064
Tobias Harris,5.796883388,5.796883388343688
Deandre Ayton,5.053727845,5.053727845481085
Ryan Dunn,3.59342371,3.593423710751069
Zach LaVine,4.343565262,4.343565262612381
Christian Braun,4.834983794,4.834983794521526
Shaedon Sharpe,2.609112696,2.6091126969330496
Draymond Green,2.602659901,2.602659901934243
Dalton Knecht,2.079384544,2.0793845450309867
Alexandre Sarr,4.943520592,4.943520592501459
Gary Trent Jr.,1.431170704,1.431170705150831
Tyus Jones,3.758046434,3.7580464347206326
Stephen Curry,5.407300956,5.407300956415716
Guerschon Yabusele,1.875993005,1.8759930060685903
Brook Lopez,3.29768729,3.2976872908057446
Carlton Carrington,15.19238863,15.192388628606627
Justin Champagnie,2.167270998,2.1672709990147387
Coby White,3.211568053,3.211568053821666
Svi Mykhailiuk,0.272295631,0.00838105019487669
Andre Jackson Jr.,2.376218064,2.3762180649761087
Brandin Podziemski,1.395043818,1.39504381915751
Walker Kessler,2.52206508,2.522065080949143
Jonas Valanciunas,14.75597142,14.755971418687313
Matas Buzelis,2.702253423,2.7022534239158302
DeMar DeRozan,1.942428869,1.9424288700563075
D'Angelo Russell,8.948819565,8.948819564760953
Olivier-Maxence Prosper,0.003,0.0083810483413409
Taurean Prince,2.042792651,2.042792652037752
